mlbam_id,1B,2B,3B,C,CF,DH,LF,SP,RF,SS,OF,RP
468504,0,0,0,0,0,0,0,2,0,0,0,2
471911,0,0,0,0,0,0,0,12,0,0,0,0
472610,0,0,0,0,0,0,0,11,0,0,0,9
474463,0,0,0,0,0,0,0,10,0,0,0,0
474568,2,0,2,0,0,0,0,0,0,6,0,0
474832,47,0,0,0,0,1,0,0,0,0,0,0
475054,0,0,0,0,0,0,0,10,0,0,0,10
475253,31,0,0,0,0,4,0,0,0,0,0,0
475479,0,0,0,0,0,0,0,22,0,0,0,22
476454,0,0,0,0,0,0,0,15,0,0,0,15
476594,0,0,0,0,0,0,0,10,0,0,0,10
477132,0,0,0,0,0,0,0,10,0,0,0,0
488671,0,0,0,22,0,1,0,0,0,0,0,0
488726,0,0,0,0,0,26,19,0,0,0,19,0
488748,0,0,0,0,0,0,0,10,0,0,0,10
488771,0,0,0,26,0,0,0,0,0,0,0,0
488984,0,0,0,0,0,0,0,24,0,0,0,24
489119,0,0,0,0,0,0,0,6,0,0,0,2
489149,2,0,0,0,0,6,0,0,0,0,0,0
489265,0,0,0,0,0,0,0,24,0,0,0,24
489334,0,0,0,0,0,0,0,24,0,0,0,24
489446,0,0,0,0,0,0,0,6,0,0,0,6
491624,0,0,0,0,0,0,0,9,0,0,0,9
493316,0,0,0,0,0,8,0,0,0,0,0,0
493329,55,0,0,0,0,2,0,0,0,0,0,0
493603,0,0,0,0,0,0,0,24,0,0,0,24
500610,0,0,0,0,0,0,0,9,0,0,0,9
500743,1,0,1,0,0,0,0,0,0,39,0,0
500779,0,0,0,0,0,0,0,4,0,0,0,3
500871,0,3,47,0,0,4,0,0,0,0,0,0
500874,6,0,0,0,0,20,0,0,0,0,0,0
501303,0,5,23,0,0,1,0,1,0,9,0,1
501381,0,0,0,0,0,0,0,5,0,0,0,0
501571,0,0,0,0,2,0,0,0,0,0,2,0
501593,0,0,0,0,0,0,0,10,0,0,0,10
501625,0,0,0,0,0,0,0,8,0,0,0,8
501659,0,0,0,0,1,3,2,0,0,0,3,0
501789,0,0,0,0,0,0,0,20,0,0,0,20
501981,0,0,0,0,0,27,0,0,0,0,0,0
501985,0,0,0,0,0,0,0,12,0,0,0,1
502026,0,0,0,0,0,0,0,22,0,0,0,22
502043,0,0,0,0,0,0,0,12,0,0,0,0
502054,0,0,0,0,0,13,18,0,0,0,18,0
502110,0,0,0,0,0,48,3,0,4,0,7,0
502154,0,0,0,0,0,0,0,20,0,0,0,20
502171,0,0,0,0,0,0,0,10,0,0,0,0
502179,0,0,0,0,0,0,0,2,0,0,0,1
502188,0,0,0,0,0,0,0,4,0,0,0,0
502202,0,0,0,0,0,0,0,23,0,0,0,23
502210,0,0,0,0,0,5,0,0,50,0,50,0
502239,0,0,0,0,0,0,0,11,0,0,0,5
502273,1,4,6,0,0,1,4,0,0,3,4,0
502481,0,0,0,0,23,2,6,0,1,0,30,0
502517,29,0,0,0,0,4,0,0,0,0,0,0
502578,0,0,0,0,0,0,0,2,0,0,0,2
502624,0,0,0,0,0,0,0,10,0,0,0,3
502671,52,0,0,0,0,6,0,0,0,0,0,0
502706,0,0,0,0,0,0,0,12,0,0,0,7
502748,0,0,0,0,0,0,0,3,0,0,0,3
503285,0,0,0,0,0,0,0,19,0,0,0,19
503556,14,21,23,0,0,0,0,0,8,0,8,0
503569,0,0,0,0,0,0,0,24,0,0,0,24
504379,0,0,0,0,0,0,0,2,0,0,0,2
506433,0,0,0,0,0,0,0,12,0,0,0,0
