mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
592662,8,15,0,0,0,0,0,174.1,185,105,95,24,71,4,218,6,0,8
515052,0,0,0,0,0,0,0,7.1,8,6,4,0,4,0,5,0,0,0
643355,0,0,0,0,0,0,2,14.2,18,8,8,1,6,0,15,0,0,0
625643,5,3,0,0,0,0,1,44.0,47,27,24,4,22,2,42,0,0,5
435400,0,1,0,0,0,0,6,23.2,28,15,13,6,8,1,24,2,0,0
448609,1,2,0,0,1,1,12,43.2,52,26,24,12,18,0,40,1,0,0
502706,7,9,0,0,0,0,0,107.1,116,62,59,15,35,2,67,2,0,2
435221,2,3,0,0,0,1,0,40.0,29,24,22,2,26,1,44,2,0,2
424144,2,3,0,0,0,1,15,40.0,38,22,22,4,20,3,46,7,0,5
612672,5,5,0,0,0,0,0,123.1,134,69,68,22,24,0,100,3,0,1
592593,3,6,0,0,0,0,0,79.1,96,45,44,8,20,1,37,3,0,1
605538,7,13,0,0,1,0,0,156.2,159,90,87,26,49,3,115,4,1,5
605151,8,9,0,0,0,0,0,141.2,154,84,79,16,67,8,143,4,2,7
571901,0,0,0,0,0,1,2,14.1,15,8,8,2,4,0,15,3,0,3
543859,3,2,0,0,0,2,2,71.2,80,46,40,13,24,0,80,3,0,5
570714,0,3,0,0,0,0,0,34.0,41,19,19,5,15,1,28,1,0,0
606983,2,0,0,0,0,2,2,19.2,15,12,11,3,7,1,16,1,0,1
523848,1,0,0,0,0,1,1,35.2,34,23,20,5,17,1,20,4,0,2
450308,12,12,1,1,0,0,0,178.0,209,106,100,37,51,2,103,4,2,1
516714,3,1,0,0,0,0,1,26.2,28,16,15,6,7,2,41,3,0,5
641490,0,0,0,0,0,0,3,16.0,16,9,9,0,7,2,17,0,1,1
456167,7,4,0,0,0,0,0,119.0,116,68,67,28,46,1,107,7,1,0
460059,4,10,0,0,0,0,0,119.0,160,76,67,15,46,0,56,6,0,3
502043,6,11,1,0,0,0,0,147.1,175,89,83,20,55,3,104,4,0,9
608379,7,7,0,0,0,0,0,138.0,159,86,78,15,45,6,114,1,0,6
502032,6,10,0,0,0,0,1,113.0,116,67,64,14,49,4,102,3,0,7
